subj_idx,visit,response,rt,acc,cond,ctrl
7,3,1,0.4109,1,Delay,HL
7,3,1,0.5479,1,Delay,HL
7,3,1,0.5752,1,Delay,HL
7,3,1,0.2846,1,Delay,HL
7,3,1,0.5919,1,Delay,HL
7,3,1,0.3766,1,Delay,HL
7,3,1,0.2438,1,Delay,HL
7,3,1,0.4759,1,Delay,HL
7,3,1,0.5261,1,Delay,HL
7,3,1,0.3195,1,Delay,HL
7,3,1,0.3486,1,Delay,HL
7,3,1,0.3409,1,Delay,HL
7,3,1,0.3811,1,Delay,HL
7,3,1,0.3733,1,Delay,HL
7,3,1,0.3335,1,Delay,HL
7,3,1,0.4075,1,Delay,HL
7,3,1,0.6786,1,Delay,HL
7,3,1,0.3169,1,Delay,HL
7,3,1,0.5,1,Delay,HL
7,3,1,0.3461,1,Delay,HL
7,3,1,0.6442,1,Delay,HL
7,3,1,0.5379,1,Delay,HL
7,3,1,0.4132,1,Delay,HL
7,3,1,0.3523,1,Delay,HL
7,3,1,0.3845,1,Delay,HL
7,3,1,0.3858,1,Delay,HL
7,3,1,0.3179,1,Delay,HL
7,3,1,0.5291,1,Delay,HL
7,3,1,0.5742,1,Delay,HL
7,3,1,0.3764,1,Delay,HL
7,3,1,0.3975,1,Delay,HL
7,3,1,0.2975,1,Delay,HL
7,3,1,0.3636,1,Delay,HL
7,3,1,0.6197,1,Delay,HL
7,3,1,0.7989,1,Delay,HL
7,3,1,0.8096,1,Delay,HL
7,3,1,0.6218,1,Delay,HL
7,3,1,0.3709,1,Delay,HL
7,3,1,0.352,1,Delay,HL
7,3,1,0.4432,1,Delay,HL
7,3,1,0.7303,1,Delay,HL
7,3,1,0.2907,1,Delay,HL
7,3,1,0.4419,1,Delay,HL
7,3,1,0.4953,1,Delay,HL
7,3,1,0.5505,1,Delay,HL
7,3,1,0.3236,1,Delay,HL
7,3,1,0.4609,1,Delay,HL
7,3,1,0.6329,1,Switch,LH
7,3,1,0.661,1,Switch,LH
7,3,1,0.7202,1,Switch,LH
7,3,0,0.5474,1,Switch,LH
7,3,0,0.9262,1,Switch,LH
7,3,0,0.6375,1,Switch,LH
7,3,1,0.57,1,Switch,LH
7,3,1,0.7141,1,Switch,LH
7,3,1,0.3132,1,Switch,LH
7,3,1,0.4903,1,Switch,LH
7,3,1,0.6892,1,Switch,LH
7,3,0,0.7413,1,Switch,LH
7,3,0,0.5469,1,Switch,LH
7,3,0,0.5931,1,Switch,LH
7,3,1,0.7638,1,Switch,LH
7,3,0,1.2169,0,Switch,LH
7,3,1,0.9041,1,Switch,LH
7,3,0,0.9002,1,Switch,LH
7,3,1,0.6648,1,Switch,LH
7,3,1,0.717,1,Switch,LH
7,3,1,0.4496,1,Switch,LH
7,3,1,0.4708,1,Switch,LH
7,3,0,0.382,1,Switch,LH
7,3,1,0.5712,1,Switch,LH
7,3,0,0.4691,1,Switch,LH
7,3,0,0.3823,1,Switch,LH
7,3,0,0.4933,1,Switch,LH
7,3,1,0.7756,1,Switch,LH
7,3,0,0.3959,1,Switch,LH
7,3,0,0.3101,1,Switch,LH
7,3,1,0.4544,1,Switch,LH
7,3,0,0.6574,1,Switch,LH
7,3,0,0.5497,1,Switch,LH
7,3,0,0.4786,1,Switch,LH
7,3,0,0.3708,1,Switch,LH
7,3,1,0.5219,1,Switch,LH
7,3,1,0.676,1,Switch,LH
7,3,1,0.5782,1,Switch,LH
7,3,1,0.4632,1,Switch,LH
7,3,1,0.4613,1,Switch,LH
7,3,1,0.5474,1,Switch,LH
7,3,1,0.5577,1,Switch,LH
7,3,1,0.366,1,Switch,LH
7,3,1,0.8261,1,Switch,LH
7,3,0,0.416,1,Switch,LH
7,3,1,0.5982,1,Switch,LH
7,3,0,0.5773,1,Switch,LH
7,3,0,1.3665,1,Switch,LH
7,3,0,0.4185,1,Base,LL
7,3,1,0.5146,1,Base,LL
7,3,0,0.4209,1,Base,LL
7,3,0,0.501,1,Base,LL
7,3,0,1.5784,1,Base,LL
7,3,0,1.7285,1,Base,LL
7,3,0,0.7837,1,Base,LL
7,3,0,1.3619,1,Base,LL
7,3,1,0.706,1,Base,LL
7,3,1,0.4082,1,Base,LL
7,3,1,0.6955,1,Base,LL
7,3,1,0.6216,1,Base,LL
7,3,0,0.4788,1,Base,LL
7,3,0,0.5429,1,Base,LL
7,3,1,0.4175,1,Base,LL
7,3,1,0.5866,1,Base,LL
7,3,0,0.4568,1,Base,LL
7,3,1,0.5419,1,Base,LL
7,3,0,0.5408,1,Base,LL
7,3,0,0.4828,1,Base,LL
7,3,1,0.5393,1,Base,LL
7,3,0,0.5018,1,Base,LL
7,3,0,0.5032,1,Base,LL
7,3,1,0.6494,1,Base,LL
7,3,0,2.0815,1,Base,LL
7,3,1,0.6757,1,Base,LL
7,3,1,0.5751,1,Base,LL
7,3,1,0.6362,1,Base,LL
7,3,0,0.4704,1,Base,LL
7,3,1,0.4983,1,Base,LL
7,3,0,0.3518,1,Base,LL
7,3,0,0.4009,1,Base,LL
7,3,0,0.4471,1,Base,LL
7,3,1,1.0072,1,Base,LL
7,3,0,0.8084,1,Base,LL
7,3,1,0.4226,1,Base,LL
7,3,1,0.5808,1,Base,LL
7,3,1,0.48,1,Base,LL
7,3,0,0.4942,1,Base,LL
7,3,0,0.5545,1,Base,LL
7,3,1,0.94,1,Base,LL
7,3,1,0.9372,1,Base,LL
7,3,0,0.4094,1,Base,LL
7,3,0,0.4805,1,Base,LL
7,3,0,0.3517,1,Base,LL
7,3,0,0.4569,1,Base,LL
7,3,1,0.5138,1,Base,LL
7,3,0,0.3699,1,Base,LL
