,resp,rt,acc,onset,onseterror,duration,durationerror,trialtype,matchtype,letter,location1,location2,location3,location4,content,wm,dt,runnum, blocknum,trialnum,subj_idx,response
4328,1!,0.488221008,1,35.69830816,-0.001691843,0.499965417,-3.46E-05,verbalBaseline2,Match,B,910,380,1010,480,verbal,no,no,1,1,1,5,0
4329,1!,0.537373949,1,38.79812766,-0.00187234,0.499968205,-3.18E-05,verbalBaseline2,Match,L,1015,456,1115,556,verbal,no,no,1,1,1,5,0
4330,4$,0.740738522,1,46.19768912,-0.00231088,0.499969209,-3.08E-05,spatialInit,NonMatch,T,805,456,905,556,spatial,yes,yes,1,2,10,5,1
4331,1!,0.697824932,1,49.29751626,-0.002483742,0.499961276,-3.87E-05,spatialBaseline1,Match,L,1015,456,1115,556,spatial,yes,yes,1,2,10,5,0
4332,4$,1.043028996,1,52.79730163,-0.002698372,0.499981518,-1.85E-05,SpatialBranchTaskCue,NonMatch,A,805,456,905,556,spatial,yes,yes,1,2,10,5,1
4333,1!,0.97517006,1,55.89712135,-0.002878648,0.499979808,-2.02E-05,SpatialBranchStart,Match,E,910,380,1010,480,spatial,yes,yes,1,2,10,5,0
4334,4$,1.090325569,1,59.3969168,-0.0030832,0.49997149,-2.85E-05,SpatialBranchBack,NonMatch,L,805,456,905,556,spatial,yes,yes,1,2,10,5,1
4335,4$,1.188486635,0,62.89672075,-0.003279248,0.499964299,-3.57E-05,ReturnSpatialBranchBack,Match,T,1015,456,1115,556,spatial,yes,yes,1,2,10,5,1
4336,1!,1.332636673,1,66.79649257,-0.003507435,0.499956801,-4.32E-05,spatialBaseline2,Match,E,845,579,945,679,spatial,yes,yes,1,2,10,5,0
4337,4$,0.748960654,1,72.99612794,-0.003872063,0.499962602,-3.74E-05,spatialInit,NonMatch,T,845,579,945,679,spatial,no,yes,1,3,17,5,1
4338,1!,0.858151983,1,76.89589044,-0.004109558,0.499979993,-2.00E-05,spatialBaseline1,Match,B,910,380,1010,480,spatial,no,yes,1,3,17,5,0
4339,4$,0.859225382,1,79.99570889,-0.004291109,0.499971341,-2.87E-05,spatialBaseline1,NonMatch,L,805,456,905,556,spatial,no,yes,1,3,17,5,1
4340,1!,0.843413717,1,83.49551992,-0.00448008,0.499966073,-3.39E-05,SpatialSwitchTaskCue,Match,B,1015,456,1115,556,spatial,no,yes,1,3,17,5,0
4341,1!,0.837577446,1,86.59533181,-0.004668189,0.499958995,-4.10E-05,SpatialSwitchStart,Match,T,910,380,1010,480,spatial,no,yes,1,3,17,5,0
4342,4$,1.296733814,1,90.09511884,-0.004881158,0.499968404,-3.16E-05,SpatialSwitchBack,NonMatch,E,1015,456,1115,556,spatial,no,yes,1,3,17,5,1
4343,4$,0.919936269,1,93.99490339,-0.005096614,0.499954298,-4.57E-05,SpatialSwitchStart,NonMatch,B,975,579,1075,679,spatial,no,yes,1,3,17,5,1
4344,4$,0.752033592,1,97.49468349,-0.005316512,0.49997206,-2.79E-05,ReturnSpatialSwitchStart,NonMatch,L,805,456,905,556,spatial,no,yes,1,3,17,5,1
4345,4$,1.183250884,1,100.9944867,-0.00551333,0.499973771,-2.62E-05,spatialBaseline2,NonMatch,E,910,380,1010,480,spatial,no,yes,1,3,17,5,1
4346,1!,1.000560461,1,107.1941206,-0.005879447,0.499969943,-3.01E-05,verbalInit,Match,T,845,579,945,679,verbal,yes,yes,1,4,26,5,0
4347,4$,0.642716535,1,110.6939218,-0.006078234,0.499958226,-4.18E-05,verbalBaseline1,NonMatch,L,805,456,905,556,verbal,yes,yes,1,4,26,5,1
4348,1!,0.840832997,1,114.5936911,-0.006308936,0.499968539,-3.15E-05,VerbalBranchTaskCue,Match,E,910,380,1010,480,verbal,yes,yes,1,4,26,5,0
4349,4$,0.957033979,1,117.6934997,-0.00650033,0.499973015,-2.70E-05,VerbalBranchBack,NonMatch,L,845,579,945,679,verbal,yes,yes,1,4,26,5,1
4350,4$,0.97316544,0,120.7933153,-0.006684696,0.499979251,-2.07E-05,VerbalBranchStart,Match,T,910,380,1010,480,verbal,yes,yes,1,4,26,5,1
4351,1!,1.267339541,1,124.2931263,-0.006873654,0.499962082,-3.79E-05,VerbalBranchStart,Match,T,975,579,1075,679,verbal,yes,yes,1,4,26,5,0
4352,1!,0.838501788,1,127.7929242,-0.007075789,0.499954271,-4.57E-05,VerbalBranchStart,Match,T,805,456,905,556,verbal,yes,yes,1,4,26,5,0
4353,4$,1.126968496,1,131.3093728,0.009372788,0.499969544,-3.05E-05,ReturnVerbalBranchStart,NonMatch,L,845,579,945,679,verbal,yes,yes,1,4,26,5,1
4354,4$,0.960169874,1,135.2091538,0.009153824,0.499964783,-3.52E-05,verbalBaseline2,NonMatch,B,910,380,1010,480,verbal,yes,yes,1,4,26,5,1
4355,4$,1.533351296,1,138.308965,0.008965046,0.499978247,-2.18E-05,verbalBaseline2,NonMatch,A,805,456,905,556,verbal,yes,yes,1,4,26,5,1
4356,1!,0.768615161,1,144.5086113,0.008611266,0.499962602,-3.74E-05,verbalInit,Match,T,910,380,1010,480,verbal,no,yes,1,5,36,5,0
4357,1!,0.618782622,1,147.6084131,0.008413129,0.499980898,-1.91E-05,verbalBaseline1,Match,A,845,579,945,679,verbal,no,yes,1,5,36,5,0
4358,4$,0.913924798,1,151.508196,0.008196012,0.499964077,-3.59E-05,verbalBaseline1,NonMatch,L,1015,456,1115,556,verbal,no,yes,1,5,36,5,1
4359,1!,0.746074308,1,154.6080092,0.008009229,0.49997201,-2.80E-05,VerbalSwitchTaskCue,Match,E,845,579,945,679,verbal,no,yes,1,5,36,5,0
4360,4$,0.939206846,1,158.5077866,0.007786609,0.499978047,-2.20E-05,VerbalSwitchBack,NonMatch,B,805,456,905,556,verbal,no,yes,1,5,36,5,1
4361,4$,0.743429625,1,162.4075545,0.007554481,0.499977477,-2.25E-05,VerbalSwitchBack,NonMatch,T,975,579,1075,679,verbal,no,yes,1,5,36,5,1
4362,1!,1.391565118,1,166.3073308,0.007330806,0.499965317,-3.47E-05,VerbalSwitchBack,Match,A,845,579,945,679,verbal,no,yes,1,5,36,5,0
